Parti libéral du Québec,David Heurtel,David.Heurtel@plq.org,Viau
Parti libéral du Québec,David Heurtel,David.Heurtel@plq.org,Viau
Parti libéral du Québec,Luc Dastous,Luc.Dastous@plq.org,Arthabaska
Parti libéral du Québec,Luc Dastous,Luc.Dastous@plq.org,Arthabaska
Parti libéral du Québec,Florent Tanlet,Florent.Tanlet@plq.org,Taschereau
Parti libéral du Québec,Florent Tanlet,Florent.Tanlet@plq.org,Taschereau
Parti libéral du Québec,Jean-Marc Fournier,Jean-Marc.Fournier@plq.org,Saint-Laurent
Parti libéral du Québec,Jean-Marc Fournier,Jean-Marc.Fournier@plq.org,Saint-Laurent
Parti libéral du Québec,Yves St-Denis,Yves.St-Denis@plq.org,Argenteuil
Parti libéral du Québec,Yves St-Denis,Yves.St-Denis@plq.org,Argenteuil
Parti libéral du Québec,France Gagnon,France.Gagnon@plq.org,La Peltrie
Parti libéral du Québec,France Gagnon,France.Gagnon@plq.org,La Peltrie
Parti libéral du Québec,Isabelle Leblond,Isabelle.Leblond@plq.org,Bertrand
Parti libéral du Québec,Isabelle Leblond,Isabelle.Leblond@plq.org,Bertrand
Parti libéral du Québec,Serge Bastien,Serge.Bastien@plq.org,Abitibi-Ouest
Parti libéral du Québec,Serge Bastien,Serge.Bastien@plq.org,Abitibi-Ouest
Parti libéral du Québec,Marc H. Plante,Marc.H-Plante@plq.org,Maskinongé
Parti libéral du Québec,Marc H. Plante,Marc.H-Plante@plq.org,Maskinongé
Parti libéral du Québec,Luc Leclerc,Luc.Leclerc@plq.org,Deux-Montagnes
Parti libéral du Québec,Luc Leclerc,Luc.Leclerc@plq.org,Deux-Montagnes
Parti libéral du Québec,Jean-Denis Girard,Jean-Denis.Girard@plq.org,Trois-Rivières
Parti libéral du Québec,Jean-Denis Girard,Jean-Denis.Girard@plq.org,Trois-Rivières
Parti libéral du Québec,Marie Montpetit,Marie.Montpetit@plq.org,Crémazie
Parti libéral du Québec,Marie Montpetit,Marie.Montpetit@plq.org,Crémazie
Parti libéral du Québec,Carlos Leitão,Carlos.Leitao@plq.org,Robert-Baldwin
Parti libéral du Québec,Carlos Leitão,Carlos.Leitao@plq.org,Robert-Baldwin
Parti libéral du Québec,Pierre Arcand,Pierre.Arcand@plq.org,Mont-Royal
Parti libéral du Québec,Pierre Arcand,Pierre.Arcand@plq.org,Mont-Royal
Parti libéral du Québec,Lise Thériault,Lise.Theriault@plq.org,Anjou–Louis-Riel
Parti libéral du Québec,Lise Thériault,Lise.Theriault@plq.org,Anjou–Louis-Riel
Parti libéral du Québec,Isabelle Chabot,Isabelle.Chabot@plq.org,Drummond–Bois-Francs
Parti libéral du Québec,Isabelle Chabot,Isabelle.Chabot@plq.org,Drummond–Bois-Francs
Parti libéral du Québec,Cheraquie Auguste-Constant,Cheraquie.Auguste-Constant@plq.org,Gouin
Parti libéral du Québec,Cheraquie Auguste-Constant,Cheraquie.Auguste-Constant@plq.org,Gouin
Parti libéral du Québec,Pierre Moreau,Pierre.Moreau@plq.org,Châteauguay
Parti libéral du Québec,Pierre Moreau,Pierre.Moreau@plq.org,Châteauguay
Parti libéral du Québec,Serge Simard,Serge.Simard@plq.org,Dubuc
Parti libéral du Québec,Serge Simard,Serge.Simard@plq.org,Dubuc
Parti libéral du Québec,Germain Chevarie,Germain.Chevarie@plq.org,Îles-de-la-Madeleine
Parti libéral du Québec,Germain Chevarie,Germain.Chevarie@plq.org,Îles-de-la-Madeleine
Parti libéral du Québec,Thiery Valade,Thiery.Valade@plq.org,Rosemont
Parti libéral du Québec,Thiery Valade,Thiery.Valade@plq.org,Rosemont
Parti libéral du Québec,Pierre Huot,Pierre.Huot@plq.org,Rimouski
Parti libéral du Québec,Pierre Huot,Pierre.Huot@plq.org,Rimouski
Parti libéral du Québec,Richard Merlini,Richard.Merlini@plq.org,La Prairie
Parti libéral du Québec,Richard Merlini,Richard.Merlini@plq.org,La Prairie
Parti libéral du Québec,Marie-Josée Denis,Marie-Josee.Denis@plq.org,Saint-Jean
Parti libéral du Québec,Marie-Josée Denis,Marie-Josee.Denis@plq.org,Saint-Jean
Parti libéral du Québec,Jean Rousselle,Jean.Rousselle@plq.org,Vimont
Parti libéral du Québec,Jean Rousselle,Jean.Rousselle@plq.org,Vimont
Parti libéral du Québec,David Birnbaum,David.Birnbaum@plq.org,D'Arcy-McGee
Parti libéral du Québec,David Birnbaum,David.Birnbaum@plq.org,D'Arcy-McGee
Parti libéral du Québec,Maryse Gaudreault,Maryse.Gaudreault@plq.org,Hull
Parti libéral du Québec,Maryse Gaudreault,Maryse.Gaudreault@plq.org,Hull
Parti libéral du Québec,Philippe Couillard,Philippe.Couillard@plq.org,Roberval
Parti libéral du Québec,Philippe Couillard,Philippe.Couillard@plq.org,Roberval
Parti libéral du Québec,Geoffrey Kelley,Geoffrey.Kelley@plq.org,Jacques-Cartier
Parti libéral du Québec,Geoffrey Kelley,Geoffrey.Kelley@plq.org,Jacques-Cartier
Parti libéral du Québec,Gaétan Barrette,Gaetan.Barrette@plq.org,La Pinière
Parti libéral du Québec,Gaétan Barrette,Gaetan.Barrette@plq.org,La Pinière
Parti libéral du Québec,Jean-Paul Pellerin,Jean-Paul.Pellerin@plq.org,Sanguinet
Parti libéral du Québec,Jean-Paul Pellerin,Jean-Paul.Pellerin@plq.org,Sanguinet
Parti libéral du Québec,Karine Vallières,Karine.Vallieres@plq.org,Richmond
Parti libéral du Québec,Karine Vallières,Karine.Vallieres@plq.org,Richmond
Parti libéral du Québec,Martin Coiteux,Missing Email,Nelligan
Parti libéral du Québec,Martin Coiteux,Missing Email,Nelligan
Parti libéral du Québec,Jean-Guy Tremblay,Jean-Guy.Tremblay@plq.org,Marie-Victorin
Parti libéral du Québec,Jean-Guy Tremblay,Jean-Guy.Tremblay@plq.org,Marie-Victorin
Parti libéral du Québec,Laurence Methot,Laurence.Methot@plq.org,Duplessis
Parti libéral du Québec,Laurence Methot,Laurence.Methot@plq.org,Duplessis
Parti libéral du Québec,Gilles Ouimet,Gilles.Ouimet@plq.org,Fabre
Parti libéral du Québec,Gilles Ouimet,Gilles.Ouimet@plq.org,Fabre
Parti libéral du Québec,Marc Tanguay,Marc.Tanguay@plq.org,LaFontaine
Parti libéral du Québec,Marc Tanguay,Marc.Tanguay@plq.org,LaFontaine
Parti libéral du Québec,Yves Bolduc,Yves.Bolduc@plq.org,Jean-Talon
Parti libéral du Québec,Yves Bolduc,Yves.Bolduc@plq.org,Jean-Talon
Parti libéral du Québec,David Provencher,David.Provencher@plq.org,Hochelaga-Maisonneuve
Parti libéral du Québec,David Provencher,David.Provencher@plq.org,Hochelaga-Maisonneuve
Parti libéral du Québec,Mario Racette,Mario.Racette@plq.org,Rousseau
Parti libéral du Québec,Mario Racette,Mario.Racette@plq.org,Rousseau
Parti libéral du Québec,Tommy Pageau,Tommy.Pageau@plq.org,Jonquière
Parti libéral du Québec,Tommy Pageau,Tommy.Pageau@plq.org,Jonquière
Parti libéral du Québec,Gerry Sklavounos,Gerry.Sklavounos@plq.org,Laurier-Dorion
Parti libéral du Québec,Gerry Sklavounos,Gerry.Sklavounos@plq.org,Laurier-Dorion
Parti libéral du Québec,Kathleen Weil,Kathleen.Weil@plq.org,Notre-Dame-de-Grâce
Parti libéral du Québec,Kathleen Weil,Kathleen.Weil@plq.org,Notre-Dame-de-Grâce
Parti libéral du Québec,Pierre Giguère,Pierre.Giguere@plq.org,Saint-Maurice
Parti libéral du Québec,Pierre Giguère,Pierre.Giguere@plq.org,Saint-Maurice
Parti libéral du Québec,Jean-Pierre Gagnon,Jean-Pierre.Gagnon@plq.org,Bourget
Parti libéral du Québec,Jean-Pierre Gagnon,Jean-Pierre.Gagnon@plq.org,Bourget
Parti libéral du Québec,Bernard Chartier,Bernard.Chartier@plq.org,Chauveau
